Shape,W,A,OD,tnom,t,Dt,I,Z,S,r,J,C
HSS1.660X0.140,2.27,0.625,1.66,0.140,0.130,12.8,0.184,0.305,0.222,0.543,0.368,0.444
HSS1.900X0.120,2.28,0.624,1.90,0.120,0.111,17.1,0.251,0.356,0.264,0.634,0.501,0.527
HSS1.900X0.145,2.72,0.749,1.90,0.145,0.135,14.1,0.293,0.421,0.309,0.626,0.586,0.617
HSS2.375X0.125,3.01,0.823,2.38,0.125,0.116,20.5,0.527,0.592,0.443,0.800,1.05,0.887
HSS2.500X0.125,3.17,0.869,2.50,0.125,0.116,21.6,0.619,0.660,0.495,0.844,1.24,0.990
HSS1.900X0.188,3.44,0.943,1.90,0.188,0.174,10.9,0.355,0.520,0.374,0.613,0.710,0.747
HSS2.375X0.154,3.66,1.00,2.38,0.154,0.143,16.6,0.627,0.713,0.528,0.791,1.25,1.06
HSS2.875X0.125,3.67,1.01,2.88,0.125,0.116,24.8,0.958,0.884,0.667,0.976,1.92,1.33
HSS3.000X0.125,3.84,1.05,3.00,0.125,0.116,25.9,1.09,0.965,0.730,1.02,2.19,1.46
HSS3.000X0.134,4.11,1.12,3.00,0.134,0.124,24.2,1.16,1.03,0.774,1.02,2.32,1.55
HSS2.375X0.188,4.40,1.20,2.38,0.188,0.174,13.6,0.733,0.845,0.617,0.781,1.47,1.23
HSS3.500X0.125,4.51,1.23,3.50,0.125,0.116,30.2,1.77,1.33,1.01,1.20,3.53,2.02
HSS3.000X0.152,4.63,1.27,3.00,0.152,0.141,21.3,1.30,1.15,0.865,1.01,2.59,1.73
HSS2.500X0.188,4.65,1.27,2.50,0.188,0.174,14.4,0.865,0.943,0.692,0.825,1.73,1.38
HSS2.375X0.218,5.03,1.39,2.38,0.218,0.203,11.7,0.824,0.960,0.694,0.771,1.65,1.39
HSS4.000X0.125,5.18,1.42,4.00,0.125,0.116,34.5,2.67,1.75,1.34,1.37,5.34,2.67
HSS2.875X0.188,5.40,1.48,2.88,0.188,0.174,16.5,1.35,1.27,0.941,0.957,2.70,1.88
HSS3.000X0.188,5.65,1.54,3.00,0.188,0.174,17.2,1.55,1.39,1.03,1.00,3.10,2.06
HSS2.375X0.250,5.68,1.57,2.38,0.250,0.233,10.2,0.910,1.07,0.766,0.762,1.82,1.53
HSS2.875X0.203,5.80,1.59,2.88,0.203,0.189,15.2,1.45,1.37,1.01,0.952,2.89,2.01
HSS4.500X0.125,5.85,1.60,4.50,0.125,0.116,38.8,3.84,2.23,1.71,1.55,7.68,3.41
HSS2.500X0.250,6.01,1.66,2.50,0.250,0.233,10.7,1.08,1.20,0.862,0.806,2.15,1.72
HSS3.000X0.203,6.07,1.67,3.00,0.203,0.189,15.9,1.66,1.50,1.10,0.996,3.31,2.21
HSS3.000X0.216,6.43,1.77,3.00,0.216,0.201,14.9,1.74,1.58,1.16,0.992,3.48,2.32
HSS5.000X0.125,6.51,1.78,5.00,0.125,0.116,43.1,5.31,2.77,2.12,1.73,10.6,4.25
HSS3.500X0.188,6.66,1.82,3.50,0.188,0.174,20.1,2.52,1.93,1.44,1.18,5.04,2.88
HSS2.875X0.250,7.02,1.93,2.88,0.250,0.233,12.3,1.70,1.63,1.18,0.938,3.40,2.37
HSS3.500X0.203,7.15,1.97,3.50,0.203,0.189,18.5,2.70,2.07,1.54,1.17,5.41,3.09
HSS3.000X0.250,7.35,2.03,3.00,0.250,0.233,12.9,1.95,1.79,1.30,0.982,3.90,2.60
HSS3.500X0.216,7.58,2.08,3.50,0.216,0.201,17.4,2.84,2.19,1.63,1.17,5.69,3.25
HSS4.000X0.188,7.66,2.09,4.00,0.188,0.174,23.0,3.83,2.55,1.92,1.35,7.67,3.83
HSS5.563X0.134,7.78,2.12,5.56,0.134,0.124,44.9,7.84,3.67,2.82,1.92,15.7,5.64
HSS6.000X0.125,7.85,2.14,6.00,0.125,0.116,51.7,9.28,4.02,3.09,2.08,18.6,6.19
HSS4.500X0.188,8.67,2.36,4.50,0.188,0.174,25.9,5.54,3.26,2.46,1.53,11.1,4.93
HSS6.625X0.125,8.69,2.37,6.63,0.125,0.116,57.1,12.6,4.92,3.79,2.30,25.1,7.59
HSS3.500X0.250,8.69,2.39,3.50,0.250,0.233,15.0,3.21,2.49,1.83,1.16,6.41,3.66
HSS4.000X0.220,8.89,2.44,4.00,0.220,0.205,19.5,4.41,2.96,2.21,1.34,8.83,4.41
HSS4.000X0.226,9.12,2.50,4.00,0.226,0.210,19.0,4.50,3.02,2.25,1.34,9.01,4.50
HSS7.000X0.125,9.19,2.51,7.00,0.125,0.116,60.3,14.9,5.50,4.25,2.43,29.7,8.49
